Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
CHILE,14546,2528,7769,3689,478,81,0.93,879
CHINA (MAINLAND),951068,662897,179940,18329,89901,0,0.74,3681
COLOMBIA,15346,2817,7790,3619,929,191,0.38,713
COMOROS,28,0,28,0,0,0,0.05,1
CONGO,209,0,209,0,0,0,0.07,0
COOK ISLANDS,9,0,9,0,0,0,0.51,6
COSTA RICA,1571,32,1376,0,163,0,0.39,0
COTE D IVOIRE,2107,0,1303,716,88,0,0.12,168
CROATIA,5562,501,3174,1446,441,0,1.24,80
CUBA,6941,18,6431,312,180,0,0.62,236
CYPRUS,1867,39,1642,0,186,0,1.94,445
CZECH REPUBLIC,33739,22968,5271,5017,483,0,3.3,135
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,19696,18043,952,0,702,0,0.85,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),228,0,201,0,27,0,0,82
DENMARK,14431,4356,6742,2892,278,162,2.69,1592
DJIBOUTI,100,0,100,0,0,0,0.13,127
DOMINICA,30,0,30,0,0,0,0.43,1
DOMINICAN REPUBLIC,5404,147,4884,0,373,0,0.62,63
ECUADOR,6304,0,5363,131,397,414,0.5,378
EGYPT,34211,750,18131,11834,3495,0,0.5,2682
EL SALVADOR,1622,1,1462,0,160,0,0.27,60
EQUATORIAL GUINEA,844,0,39,133,0,673,1.57,11
ERITREA,172,0,166,0,6,0,0.05,16
ESTONIA,4246,3134,614,444,55,0,3.12,100
ETHIOPIA,1187,0,1065,0,122,0,0.02,68
FAEROE ISLANDS,208,0,208,0,0,0,4.5,9
FALKLAND ISLANDS (MALVINAS),12,3,8,0,0,0,3.96,0
FEDERATED STATES OF MICRONESIA,46,0,46,0,0,0,0.43,1
FIJI,288,11,265,0,13,0,0.35,139
FINLAND,15558,6573,6490,2315,180,0,3,793
FRANCE (INCLUDING MONACO),102955,12857,63948,23452,2698,0,1.73,6290
FRENCH GUIANA,139,0,131,0,8,0,0.81,30
FRENCH POLYNESIA,185,0,185,0,0,0,0.77,52
GABON,1309,0,343,67,33,866,1.04,230
GAMBIA,69,0,69,0,0,0,0.05,8
GEORGIA,1028,15,457,507,46,2,0.22,11
GERMANY,232796,91315,89142,47212,4368,759,2.83,7191
GHANA,1887,0,1629,0,258,0,0.1,78
GIBRALTAR,94,0,94,0,0,0,3.4,2562
GREECE,25581,9993,12522,1051,2015,0,2.32,3694
GREENLAND,147,0,147,0,0,0,2.6,7
GRENADA,53,0,53,0,0,0,0.52,6
GUADELOUPE,566,94,436,0,36,0,1.31,123
GUATEMALA,2898,145,2482,0,272,0,0.25,141
GUINEA,469,0,426,0,43,0,0.06,18
GUINEA BISSAU,41,0,41,0,0,0,0.03,9
GUYANA,435,0,435,0,0,0,0.59,9
HAITI,428,0,400,0,28,0,0.05,28
HONDURAS,1558,89,1289,0,180,0,0.25,19
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,10351,4132,4764,1281,174,0,1.52,5274
HUNGARY,15538,3832,4540,6690,469,7,1.53,183
ICELAND,573,96,460,0,17,0,2.02,134
INDIA,283925,175588,81284,11891,14280,880,0.27,2017
INDONESIA,80422,16053,40900,16693,4257,2520,0.37,494
IRAQ,23273,0,20550,1408,816,499,0.95,437
IRELAND,12007,2891,6408,2238,469,0,3.11,720
ISLAMIC REPUBLIC OF IRAN,108655,1130,62080,34840,3623,6982,1.64,1297
ISRAEL,17343,8347,8352,5,639,0,2.83,714
ITALY (INCLUDING SAN MARINO),122811,13857,67254,36287,5413,0,2.15,3709
JAMAICA,2895,38,2775,0,81,0,1.11,162
JAPAN,328164,102660,173578,41515,10411,0,2.61,8916
JORDAN,4364,0,3804,129,432,0,0.89,42
KAZAKHSTAN,35956,22040,7966,5675,276,0,2.41,105
KENYA,2555,48,2328,0,179,0,0.08,73
KIRIBATI,7,0,7,0,0,0,0.08,2
KUWAIT,15719,0,9901,5524,125,168,7.82,673
KYRGYZSTAN,1062,335,296,366,64,0,0.21,20
LAO PEOPLE S DEMOCRATIC REPUBLIC,238,123,102,0,13,0,0.04,8
LATVIA,1905,128,984,793,0,0,0.8,191
LEBANON,4410,137,3880,0,393,0,1.16,122
LESOTHO,512,407,105,0,0,0,0.26,0
LIBERIA,134,0,125,0,9,0,0.05,13
LIBYAN ARAB JAMAHIRIYAH,13117,0,9245,2750,408,714,2.46,260
